RequiredQual,JobDescription,JobRequirment,Title,Combined
"- Fluency in spoken and written English; knowledge of other European
languages will be desirable;
- Wide-ranging administrative skills (knowledge of
accounting/bookkeeping work, knowledge of tax, social security and
accounting maters as per the Britis","This is an excellent opportunity for the right person
to join CUTS Centre for International Trade, Economics and Environment,
London. CUTS (Consumer Unity & Trust Society) is a charitable
organisation, with its headquarters in Jaipur, India, working at the
local, national, regional and international levels, and has recently
opened an office in London. The London office will coordinate and manage
research and advocacy work on trade and economic issues and will also
support other offices of CUTS by raising funds, organising events, etc.
The organisation is concerned with the impact of international trade and
economic regime on developing countries and advocates for the poor at
different levels. The position will involve providing support for all
these activities. Applicants must have experience in office
administration.","- Responsible for managing office administration, including accounts,
etc.; 
- To provide administrative support to other staff (set-up and
maintenance of the filing system, organising travel, events, etc);
- Manage office communications (written, ele",Administrative Assistant,"- Fluency in spoken and written English; knowledge of other European languages will be desirable; - Wide-ranging administrative skills (knowledge of accounting/bookkeeping work, knowledge of tax, social security and accounting maters as per the British la"
"- Written and oral fluency in English, Armenian and Russian is required;
- Advanced computer skills and competency in standard MS Office
applications as well as Email/Internet, Quicken and Accounting software
""OC - 1"";
- Essential knowledge of RA legi","The accountant is a full-time national staff position
based in CCDI's Yerevan head office. Accountant is responsible for
overseeing the daily financial operations of the organization (1 head
office and 8 field offices).
CCDI runs double entry bookkeeping on accrual bases in compliance with
the National (International) Accounting Standards (NAS).  Accounting is
computerized. Accounting software ""OC - 1"", MS Access based double entry
bookkeeping.   Quicken also will be used for recordkeeping.  Some forms
and tables are also done in Excel.
Overall Job Functions, Major Duties, and Responsibilities
- Development and implementation of effective accounting, internal
controls, and fund control policies, procedures, and systems
- Effective preparation, maintenance, and reporting of internal and
external financial records and analyses
- Oversee the daily financial operations and performance of the
organization
- Establish and maintain effective communication and coordination with
management and field offices
- Maintain effective business relations with the bank and outside
auditors/regulatory authorities","- Manage program financial system and budget of the organization;
- Implement general and every day accounting of the organization in
accordance with the requirements of the donor organizations and in
compliance with the RoA law;
- Ensure that accurat",Accountant,"- Written and oral fluency in English, Armenian and Russian is required; - Advanced computer skills and competency in standard MS Office applications as well as Email/Internet, Quicken and Accounting software ""OC - 1""; - Essential knowledge of RA legislat"
"- Excellent communication skills. Friendly personality.
- Proficiency in English, Armenian, and Russian.
- Experience providing translation and interpretation between
Armenian-English and Russian-English.
- Excellent knowledge of Computer (Minimum req","This is a full-time position based in CCDI's Yerevan
head office with frequent travel outside of Yerevan.","- Provide translation and interpretation services.
- Professionally answer telephone calls and refer and/or transfer them
to appropriate employees.
- Manage the administrative filing system, track the flow of documents,
and maintain appropriate hard-c",Administrative Assistant,"- Excellent communication skills. Friendly personality. - Proficiency in English, Armenian, and Russian. - Experience providing translation and interpretation between Armenian-English and Russian-English. - Excellent knowledge of Computer (Minimum require"
"- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred); 
- At least 3 years of successful experience in software development;
- Extensive development exp","Synergy International Systems, Inc./Armenia seeks to
fill the long-term position of Software Developer. The responsibilities
of this position are focused on core software development tasks in
Synergy International Systems, Inc. Synergy's main focus is on
developing integrated state-of-the-art Web Database and Web Portal
systems for business intelligence, knowledge management and e-Government
solutions. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include
but are not limited to the following:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products.",Software Developer,"- Degree in Computer Science, Information Technology or related discipline (Bachelor's Degree in the relevant field required, Master's Degree preferred);  - At least 3 years of successful experience in software development; - Extensive development experie"
"- Advanced university degree in public health or related field with at
least 3 years of working experience with international organizations;
- Good knowledge on the institutional framework of the Armenia's
HIV/AIDS Prevention system;
- Good knowledge ","The UNDP and the Ministry of Health seek
professionals for the project ""HIV/AIDS and Uniformed Services''","- Daily management of project activities by leading, supervising and
monitoring the project staff and expert groups for conducting KAP
(Knowledge, Attitude, Practices) surveys among 600 uniformed personnel,
undertaking Situation and Response Analysis, ",Project Manager,- Advanced university degree in public health or related field with at least 3 years of working experience with international organizations; - Good knowledge on the institutional framework of the Armenia's HIV/AIDS Prevention system; - Good knowledge on U
"- University degree preferably majoring in English language;
- Excellent writing skills;
- Strong interpersonal and presentation skills;
- Fluency in Armenian, English and Russian;
- Working experience as an Administrative Assistant is preferable.","Vem Radio Station (FM 101.6) is seeking a qualified
Administrative Assistant.","Duties will include, but are not limited to:
- Managing the general operations of the office;
- Writing proposals and letters;
- Developing texts for web site;
- Answering phone calls;
- Setting up meetings, etc.",Administrative Assistant,"- University degree preferably majoring in English language; - Excellent writing skills; - Strong interpersonal and presentation skills; - Fluency in Armenian, English and Russian; - Working experience as an Administrative Assistant is preferable.Vem Radi"
"- Excellent English, Armenian and Russian language skills (written and
oral); 
- Previous experience of working for international organizations will be
an asset;
- Excellent interpersonal and communication skills, strong
organizational and time manag","Armenian Association of Seismology and Physics of the
Earth (AASPE) invites applications from highly qualified and experienced
professionals for the post of Administrative Assistant.","Under supervision of AASPE President the
Administrative Assistant will perform the following tasks: 
- Provide high quality written translations of documents and
correspondence from Armenian and Russian into English and vice versa for
all programmes of the office;
- Arrange appointments for the President and draft routine
correspondence for him/her;
- Maintain proper electronic and paper filing systems;
- Perform other related duties as requited.",Administrative Assistant,"- Excellent English, Armenian and Russian language skills (written and oral);  - Previous experience of working for international organizations will be an asset; - Excellent interpersonal and communication skills, strong organizational and time management"
"Candidates must have:
- Excellent computer skills (Excel, Word, accounting programs);
- University degree and experience in accounting or related field;
- Desire to bring about positive change in Armenia;
- Excellent skills in managing tasks;
- Strong communication skills;
- Strong organizational skills;
- Interest to learn what relevant things are not known.
Very beneficial:
- Excellent oral and written English language skills;
- Detailed understanding of requirements for NGO filings.","The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for one part time position on an
expanding project. A quarter time position (approximately 10 hours per
week) available with a goal-oriented environmental NGO.","- Managing all financial matters of the NGO;
- Filing all reports in accordance with regulations;
- Interacting with NGO President, Director and other staff regarding
financial matters;
- Developing regular financial reports for internal management;
",Accountant,"Candidates must have: - Excellent computer skills (Excel, Word, accounting programs); - University degree and experience in accounting or related field; - Desire to bring about positive change in Armenia; - Excellent skills in managing tasks; - Strong communication skills; - Strong organizational skills; - Interest to learn what relevant things are not known. Very beneficial: - Excellent oral and written English language skills; - Detailed understanding of requirements for NGO filings.The Armenian Forests NGO with funding from the Tufenkian Foundation seeks candidates for one part time position on an expanding project. A quarter time position (approximately 10 hours per week) available with a goal-oriented environmental NGO.- Managing all financial matters of the NGO; - Filing all reports in accordance with regulations; - Interacting with NGO President, Director and other staff regarding financial matters; - Developing regular financial reports for internal management; - Interacting with tax office and other appropriate government bodies; - Researching new financial related laws to ensure absolute compliance."
"Candidates must have:
- University degree;
- Excellent computer skills (word processing, spreadsheets, etc.);
- Excellent oral and written Armenian and English language skills;
- Excellent people skills;
- Excellent experience with managing correspondence;
- Ability to complete multiple challenging tasks.
Very beneficial:
- Excellent oral and written Russian language skills;
- Experience in Western offices or local offices of international
organizations;
- Knowledge of environmental issues;
- Understanding of business and economics.","The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for two positions on an expanding
project. A full time (or part timesee following sentence)
Administrative Assistant position available on an ambitious,
goal-oriented environmental project. The first choice is to find the
right person for full time, however, there may be a possibility for
someone to do this as a half time position (in the first half of the
day).","Responsibilities include:
- Assisting the other staff (supervisors and coordinators) in their
daily operations;
- Conducting correspondence of the project;
- Maintaining files and records of the project activities;
- Doing interpretation and translations;
- Arranging and coordinating meetings with the counterparts and/or
clients;
- Receiving visitors, telephone calls, etc.;
- Coordinating supplies and services for the office;
- Performing other activities as prescribed by immediate supervisor.",Administrative Assistant,"Candidates must have: - University degree; - Excellent computer skills (word processing, spreadsheets, etc.); - Excellent oral and written Armenian and English language skills; - Excellent people skills; - Excellent experience with managing correspondence; - Ability to complete multiple challenging tasks. Very beneficial: - Excellent oral and written Russian language skills; - Experience in Western offices or local offices of international organizations; - Knowledge of environmental issues; - Understanding of business and economics.The Armenian Forests NGO with funding from the Tufenkian Foundation seeks candidates for two positions on an expanding project. A full time (or part timesee following sentence) Administrative Assistant position available on an ambitious, goal-oriented environmental project. The first choice is to find the right person for full time, however, there may be a possibility for someone to do this as a half time position (in the first half of the day).Responsibilities include: - Assisting the other staff (supervisors and coordinators) in their daily operations; - Conducting correspondence of the project; - Maintaining files and records of the project activities; - Doing interpretation and translations; - Arranging and coordinating meetings with the counterparts and/or clients; - Receiving visitors, telephone calls, etc.; - Coordinating supplies and services for the office; - Performing other activities as prescribed by immediate supervisor."
"Candidates must have:
- Excellent computer skills (Excel, Word, Access, accounting programs);
- University degree in accounting or related field;
- Excellent skills in managing tasks;
- Strong communication skills;
- Strong organizational skills; 
- Non-smoking lifestyle;        
- Exemplary character as all employees are role models to our students;
- Translation skills between Armenian and English
- Interest to learn what relevant things are not known.
Very beneficial:
- Excellent oral and written English language skills;
- Detailed understanding of requirements for filings.","The QSI  International School of Yerevan seeks
candidates for one part time or full time position on an expanding job
description.","- Managing all financial matters of the School;
- Filing all reports in accordance with QSI International and Armenian
regulations;
- Reporting directly to the Director and Interacting with other staff
regarding financial matters;
- Designing Summary",Accountant,"Candidates must have: - Excellent computer skills (Excel, Word, Access, accounting programs); - University degree in accounting or related field; - Excellent skills in managing tasks; - Strong communication skills; - Strong organizational skills;  - Non-smoking lifestyle;         - Exemplary character as all employees are role models to our students; - Translation skills between Armenian and English - Interest to learn what relevant things are not known. Very beneficial: - Excellent oral and written English language skills; - Detailed understanding of requirements for filings.The QSI  International School of Yerevan seeks candidates for one part time or full time position on an expanding job description.- Managing all financial matters of the School; - Filing all reports in accordance with QSI International and Armenian regulations; - Reporting directly to the Director and Interacting with other staff regarding financial matters; - Designing Summary/ Entry Sheets and Developing regular financial reports for internal/ QSI International management; - Interacting with tax office and other appropriate government bodies; - Researching new financial related laws to ensure absolute compliance."
